account,side,size_usd,classification
0x513b8629fe877bb581bf244e326a047b249c4ff1,SELL,3921430.72,fear
0x513b8629fe877bb581bf244e326a047b249c4ff1,BUY,3719140.94,fear
0x513b8629fe877bb581bf244e326a047b249c4ff1,SELL,3641180.84,neutral
0x513b8629fe877bb581bf244e326a047b249c4ff1,BUY,3509752.98,fear
0x513b8629fe877bb581bf244e326a047b249c4ff1,SELL,3279596.7,fear
0x513b8629fe877bb581bf244e326a047b249c4ff1,BUY,2834011.35,fear
0x513b8629fe877bb581bf244e326a047b249c4ff1,BUY,2825834.19,neutral
0x513b8629fe877bb581bf244e326a047b249c4ff1,SELL,2423217.53,neutral
0x513b8629fe877bb581bf244e326a047b249c4ff1,BUY,2227114.71,greed
0x513b8629fe877bb581bf244e326a047b249c4ff1,SELL,1905487.58,neutral
0x513b8629fe877bb581bf244e326a047b249c4ff1,BUY,1395880.37,neutral
0x513b8629fe877bb581bf244e326a047b249c4ff1,SELL,1246278.89,greed
0x513b8629fe877bb581bf244e326a047b249c4ff1,SELL,1146458.05,greed
0xbaaaf6571ab7d571043ff1e313a9609a10637864,SELL,1120971.6,extreme fear
0x513b8629fe877bb581bf244e326a047b249c4ff1,SELL,1107307.8,greed
0x513b8629fe877bb581bf244e326a047b249c4ff1,BUY,1024387.04,greed
0x083384f897ee0f19899168e3b1bec365f52a9012,BUY,685200.0,extreme fear
0x083384f897ee0f19899168e3b1bec365f52a9012,SELL,665771.71,extreme greed
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,SELL,610194.33,extreme fear
0xbaaaf6571ab7d571043ff1e313a9609a10637864,SELL,605671.31,extreme fear
0xbaaaf6571ab7d571043ff1e313a9609a10637864,SELL,597923.69,extreme fear
0x4f93fead39b70a1824f981a54d4e55b278e9f760,SELL,521983.62,extreme greed
0x083384f897ee0f19899168e3b1bec365f52a9012,SELL,382727.69,extreme greed
0x083384f897ee0f19899168e3b1bec365f52a9012,SELL,225637.33,extreme greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,SELL,207912.9,extreme greed
